,T,lambda,gamma,strategy
265,10,0.25,11,70
266,10,0.25,11,70
267,10,0.25,11,60
268,10,0.25,11,70
269,10,0.25,11,70
270,10,0.25,11,60
271,10,0.25,11,80
272,10,0.25,11,50
273,10,0.25,11,60
274,10,0.25,11,50
275,10,0.25,11,50
276,10,0.25,11,80
277,10,0.25,11,70
278,10,0.25,11,80
279,10,0.25,11,60
280,10,0.25,11,60
281,10,0.25,11,80
282,10,0.25,11,80
283,10,0.25,11,70
284,10,0.25,11,60
285,10,0.25,11,80
286,10,0.25,11,60
287,10,0.25,11,70
288,10,0.25,11,80
289,10,0.25,11,70
290,10,0.25,11,80
291,10,0.25,11,80
292,10,0.25,11,80
293,10,0.25,11,80
294,10,0.25,11,80
295,10,0.25,11,50
296,10,0.25,11,80
297,10,0.25,11,60
298,10,0.25,11,60
299,10,0.25,11,70
300,10,0.25,11,80
301,10,0.25,11,60
302,10,0.25,11,80
303,10,0.25,11,80
304,10,0.25,11,80
305,10,0.25,11,50
306,10,0.25,11,70
307,10,0.25,11,70
308,10,0.25,11,40
309,10,0.25,11,80
310,10,0.25,11,50
311,10,0.25,11,80
312,10,0.25,11,60
313,10,0.25,11,60
314,10,0.25,11,60
315,10,0.25,11,60
316,10,0.25,11,60
317,10,0.25,11,70
318,10,0.25,11,80
319,10,0.25,11,60
320,10,0.25,11,80
321,10,0.25,11,80
322,10,0.25,11,70
323,10,0.25,11,70
324,10,0.25,11,70
325,10,0.25,11,70
326,10,0.25,11,80
327,10,0.25,11,70
328,10,0.25,11,80
329,10,0.25,11,80
330,10,0.25,11,50
331,10,0.25,11,70
332,10,0.25,11,50
333,10,0.25,11,80
334,10,0.25,11,80
335,10,0.25,11,80
336,10,0.25,11,60
337,10,0.25,11,80
338,10,0.25,11,50
339,10,0.25,11,60
340,10,0.25,11,60
341,10,0.25,11,80
342,10,0.25,11,70
343,10,0.25,11,50
344,10,0.25,11,40
345,10,0.25,11,60
346,10,0.25,11,80
347,10,0.25,11,70
348,10,0.25,11,80
349,10,0.25,11,50
350,10,0.25,11,80
351,10,0.25,11,50
352,10,0.25,11,80
353,10,0.25,11,80
354,10,0.25,11,80
355,10,0.25,11,80
356,10,0.25,11,60
357,10,0.25,11,50
358,10,0.25,11,70
359,10,0.25,11,80
360,10,0.25,11,70
361,10,0.25,11,70
362,10,0.25,11,60
363,10,0.25,11,70
364,10,0.25,11,70
365,10,0.25,11,80
366,10,0.25,11,60
367,10,0.25,11,70
368,10,0.25,11,80
369,10,0.25,11,80
370,10,0.25,11,60
371,10,0.25,11,80
372,10,0.25,11,60
373,10,0.25,11,70
374,10,0.25,11,60
375,10,0.25,11,80
376,10,0.25,11,80
377,10,0.25,11,80
378,10,0.25,11,80
379,10,0.25,11,80
380,10,0.25,11,60
381,10,0.25,11,60
382,10,0.25,11,70
383,10,0.25,11,80
384,10,0.25,11,70
385,10,0.25,11,60
386,10,0.25,11,60
387,10,0.25,11,70
388,10,0.25,11,60
389,10,0.25,11,80
390,10,0.25,11,60
391,10,0.25,11,70
392,10,0.25,11,60
393,10,0.25,11,70
394,10,0.25,11,80
395,10,0.25,11,70
396,10,0.25,11,80
397,10,0.25,11,60
398,10,0.25,11,70
399,10,0.25,11,80
400,10,0.25,11,80
401,10,0.25,11,70
402,10,0.25,11,50
403,10,0.25,11,80
404,10,0.25,11,70
405,10,0.25,11,30
406,10,0.25,11,70
407,10,0.25,11,70
408,10,0.25,11,70
409,10,0.25,11,70
410,10,0.25,11,70
411,10,0.25,11,80
412,10,0.25,11,70
413,10,0.25,11,50
414,10,0.25,11,70
415,10,0.25,11,70
416,10,0.25,11,70
417,10,0.25,11,80
418,10,0.25,11,70
419,10,0.25,11,70
420,10,0.25,11,70
421,10,0.25,11,60
422,10,0.25,11,60
423,10,0.25,11,80
424,10,0.25,11,30
425,10,0.25,11,70
426,10,0.25,11,70
427,10,0.25,11,40
428,10,0.25,11,80
429,10,0.25,11,80
430,10,0.25,11,70
431,10,0.25,11,80
432,10,0.25,11,80
433,10,0.25,11,80
434,10,0.25,11,70
435,10,0.25,11,70
436,10,0.25,11,70
437,10,0.25,11,70
438,10,0.25,11,80
439,10,0.25,11,70
440,10,0.25,11,70
441,10,0.25,11,70
442,10,0.25,11,70
443,10,0.25,11,70
444,10,0.25,11,80
445,10,0.25,11,70
446,10,0.25,11,80
447,10,0.25,11,60
448,10,0.25,11,70
449,10,0.25,11,80
450,10,0.25,11,60
451,10,0.25,11,80
452,10,0.25,11,70
453,10,0.25,11,70
454,10,0.25,11,70
455,10,0.25,11,70
456,10,0.25,11,70
457,10,0.25,11,60
458,10,0.25,11,70
459,10,0.25,11,50
460,10,0.25,11,80
461,10,0.25,11,60
462,10,0.25,11,60
463,10,0.25,11,80
464,10,0.25,11,70
465,10,0.25,11,80
466,10,0.25,11,80
467,10,0.25,11,80
468,10,0.25,11,70
469,10,0.25,11,70
470,10,0.25,11,80
471,10,0.25,11,20
472,10,0.25,11,70
473,10,0.25,11,60
474,10,0.25,11,50
475,10,0.25,11,50
476,10,0.25,11,80
477,10,0.25,11,50
478,10,0.25,11,70
479,10,0.25,11,50
480,10,0.25,11,70
481,10,0.25,11,60
482,10,0.25,11,70
483,10,0.25,11,70
484,10,0.25,11,70
485,10,0.25,11,70
486,10,0.25,11,40
487,10,0.25,11,80
488,10,0.25,11,70
489,10,0.25,11,80
490,10,0.25,11,70
491,10,0.25,11,70
492,10,0.25,11,60
493,10,0.25,11,80
494,10,0.25,11,80
495,10,0.25,11,80
496,10,0.25,11,60
497,10,0.25,11,80
498,10,0.25,11,70
499,10,0.25,11,70
500,10,0.25,11,70
501,10,0.25,11,80
502,10,0.25,11,60
503,10,0.25,11,60
504,10,0.25,11,70
505,10,0.25,11,20
506,10,0.25,11,70
507,10,0.25,11,70
508,10,0.25,11,80
509,10,0.25,11,80
510,10,0.25,11,80
511,10,0.25,11,70
512,10,0.25,11,70
513,10,0.25,11,50
514,10,0.25,11,60
515,10,0.25,11,70
516,10,0.25,11,60
517,10,0.25,11,80
518,10,0.25,11,70
519,10,0.25,11,80
520,10,0.25,11,70
521,10,0.25,11,60
522,10,0.25,11,60
