,T,lambda,gamma,strategy
28778,10,4.0,19,40
28779,10,4.0,19,60
28780,10,4.0,19,50
28781,10,4.0,19,20
28782,10,4.0,19,30
28783,10,4.0,19,30
28784,10,4.0,19,60
28785,10,4.0,19,40
28786,10,4.0,19,40
28787,10,4.0,19,20
28788,10,4.0,19,60
28789,10,4.0,19,50
28790,10,4.0,19,20
28791,10,4.0,19,40
28792,10,4.0,19,60
28793,10,4.0,19,40
28794,10,4.0,19,60
28795,10,4.0,19,50
28796,10,4.0,19,60
28797,10,4.0,19,40
28798,10,4.0,19,40
28799,10,4.0,19,30
28800,10,4.0,19,60
28801,10,4.0,19,40
28802,10,4.0,19,20
28803,10,4.0,19,50
28804,10,4.0,19,30
28805,10,4.0,19,60
28806,10,4.0,19,60
28807,10,4.0,19,30
28808,10,4.0,19,50
28809,10,4.0,19,20
28810,10,4.0,19,60
28811,10,4.0,19,60
28812,10,4.0,19,50
28813,10,4.0,19,20
28814,10,4.0,19,20
28815,10,4.0,19,40
28816,10,4.0,19,30
28817,10,4.0,19,20
28818,10,4.0,19,20
28819,10,4.0,19,40
28820,10,4.0,19,50
28821,10,4.0,19,30
28822,10,4.0,19,70
28823,10,4.0,19,30
28824,10,4.0,19,20
28825,10,4.0,19,40
28826,10,4.0,19,40
28827,10,4.0,19,40
28828,10,4.0,19,60
28829,10,4.0,19,40
28830,10,4.0,19,30
28831,10,4.0,19,50
28832,10,4.0,19,30
28833,10,4.0,19,20
28834,10,4.0,19,70
28835,10,4.0,19,20
28836,10,4.0,19,20
28837,10,4.0,19,30
28838,10,4.0,19,50
28839,10,4.0,19,60
28840,10,4.0,19,40
28841,10,4.0,19,20
28842,10,4.0,19,50
28843,10,4.0,19,20
28844,10,4.0,19,60
28845,10,4.0,19,40
28846,10,4.0,19,60
28847,10,4.0,19,30
28848,10,4.0,19,20
28849,10,4.0,19,20
28850,10,4.0,19,20
28851,10,4.0,19,20
28852,10,4.0,19,30
28853,10,4.0,19,20
28854,10,4.0,19,20
28855,10,4.0,19,30
28856,10,4.0,19,20
28857,10,4.0,19,20
28858,10,4.0,19,20
28859,10,4.0,19,50
28860,10,4.0,19,50
28861,10,4.0,19,20
28862,10,4.0,19,20
28863,10,4.0,19,20
28864,10,4.0,19,20
28865,10,4.0,19,60
28866,10,4.0,19,60
28867,10,4.0,19,60
28868,10,4.0,19,20
28869,10,4.0,19,30
28870,10,4.0,19,40
28871,10,4.0,19,50
28872,10,4.0,19,50
28873,10,4.0,19,50
28874,10,4.0,19,50
28875,10,4.0,19,30
28876,10,4.0,19,50
28877,10,4.0,19,20
28878,10,4.0,19,50
28879,10,4.0,19,50
28880,10,4.0,19,60
28881,10,4.0,19,30
28882,10,4.0,19,60
28883,10,4.0,19,50
28884,10,4.0,19,70
28885,10,4.0,19,60
28886,10,4.0,19,60
28887,10,4.0,19,20
28888,10,4.0,19,20
28889,10,4.0,19,30
28890,10,4.0,19,20
28891,10,4.0,19,20
28892,10,4.0,19,20
28893,10,4.0,19,50
28894,10,4.0,19,60
28895,10,4.0,19,30
28896,10,4.0,19,20
28897,10,4.0,19,20
28898,10,4.0,19,30
28899,10,4.0,19,20
28900,10,4.0,19,30
28901,10,4.0,19,50
28902,10,4.0,19,50
28903,10,4.0,19,20
28904,10,4.0,19,40
28905,10,4.0,19,40
28906,10,4.0,19,20
28907,10,4.0,19,50
28908,10,4.0,19,60
28909,10,4.0,19,50
28910,10,4.0,19,40
28911,10,4.0,19,20
28912,10,4.0,19,20
28913,10,4.0,19,30
28914,10,4.0,19,60
28915,10,4.0,19,40
28916,10,4.0,19,20
28917,10,4.0,19,40
28918,10,4.0,19,50
28919,10,4.0,19,30
28920,10,4.0,19,60
28921,10,4.0,19,20
28922,10,4.0,19,40
28923,10,4.0,19,60
28924,10,4.0,19,40
28925,10,4.0,19,40
28926,10,4.0,19,40
28927,10,4.0,19,60
28928,10,4.0,19,50
28929,10,4.0,19,20
28930,10,4.0,19,50
28931,10,4.0,19,40
28932,10,4.0,19,60
28933,10,4.0,19,20
28934,10,4.0,19,40
28935,10,4.0,19,40
28936,10,4.0,19,50
28937,10,4.0,19,30
28938,10,4.0,19,30
28939,10,4.0,19,20
28940,10,4.0,19,60
28941,10,4.0,19,50
28942,10,4.0,19,20
28943,10,4.0,19,20
28944,10,4.0,19,50
28945,10,4.0,19,30
28946,10,4.0,19,40
28947,10,4.0,19,60
28948,10,4.0,19,80
28949,10,4.0,19,30
28950,10,4.0,19,40
28951,10,4.0,19,40
28952,10,4.0,19,20
28953,10,4.0,19,30
28954,10,4.0,19,50
28955,10,4.0,19,70
28956,10,4.0,19,20
28957,10,4.0,19,40
28958,10,4.0,19,50
28959,10,4.0,19,60
28960,10,4.0,19,70
28961,10,4.0,19,20
28962,10,4.0,19,50
28963,10,4.0,19,20
28964,10,4.0,19,60
28965,10,4.0,19,60
28966,10,4.0,19,20
28967,10,4.0,19,20
28968,10,4.0,19,20
28969,10,4.0,19,60
28970,10,4.0,19,20
28971,10,4.0,19,20
28972,10,4.0,19,60
28973,10,4.0,19,50
28974,10,4.0,19,40
28975,10,4.0,19,20
28976,10,4.0,19,20
28977,10,4.0,19,50
28978,10,4.0,19,40
28979,10,4.0,19,30
28980,10,4.0,19,60
28981,10,4.0,19,20
28982,10,4.0,19,20
28983,10,4.0,19,20
28984,10,4.0,19,60
28985,10,4.0,19,50
28986,10,4.0,19,20
28987,10,4.0,19,20
28988,10,4.0,19,50
28989,10,4.0,19,40
28990,10,4.0,19,60
28991,10,4.0,19,70
28992,10,4.0,19,50
28993,10,4.0,19,30
28994,10,4.0,19,20
28995,10,4.0,19,60
28996,10,4.0,19,20
28997,10,4.0,19,60
28998,10,4.0,19,50
28999,10,4.0,19,60
29000,10,4.0,19,40
29001,10,4.0,19,40
29002,10,4.0,19,70
29003,10,4.0,19,20
29004,10,4.0,19,20
29005,10,4.0,19,20
29006,10,4.0,19,50
29007,10,4.0,19,60
29008,10,4.0,19,20
29009,10,4.0,19,60
29010,10,4.0,19,20
29011,10,4.0,19,60
29012,10,4.0,19,60
29013,10,4.0,19,50
29014,10,4.0,19,30
29015,10,4.0,19,30
29016,10,4.0,19,20
29017,10,4.0,19,70
29018,10,4.0,19,20
29019,10,4.0,19,50
29020,10,4.0,19,40
29021,10,4.0,19,50
29022,10,4.0,19,60
29023,10,4.0,19,40
29024,10,4.0,19,20
29025,10,4.0,19,20
29026,10,4.0,19,40
29027,10,4.0,19,30
29028,10,4.0,19,30
29029,10,4.0,19,30
29030,10,4.0,19,20
29031,10,4.0,19,20
29032,10,4.0,19,60
29033,10,4.0,19,30
29034,10,4.0,19,50
29035,10,4.0,19,20
29036,10,4.0,19,50
29037,10,4.0,19,50
29038,10,4.0,19,70
29039,10,4.0,19,40
29040,10,4.0,19,30
29041,10,4.0,19,20
29042,10,4.0,19,20
29043,10,4.0,19,40
29044,10,4.0,19,20
29045,10,4.0,19,50
29046,10,4.0,19,50
29047,10,4.0,19,50
29048,10,4.0,19,70
29049,10,4.0,19,60
29050,10,4.0,19,30
29051,10,4.0,19,60
29052,10,4.0,19,60
29053,10,4.0,19,50
29054,10,4.0,19,50
29055,10,4.0,19,20
29056,10,4.0,19,20
29057,10,4.0,19,50
29058,10,4.0,19,20
29059,10,4.0,19,20
29060,10,4.0,19,20
29061,10,4.0,19,50
29062,10,4.0,19,40
29063,10,4.0,19,20
29064,10,4.0,19,40
29065,10,4.0,19,60
29066,10,4.0,19,40
29067,10,4.0,19,20
29068,10,4.0,19,60
29069,10,4.0,19,40
29070,10,4.0,19,60
29071,10,4.0,19,20
29072,10,4.0,19,30
29073,10,4.0,19,60
29074,10,4.0,19,60
29075,10,4.0,19,20
29076,10,4.0,19,40
29077,10,4.0,19,50
29078,10,4.0,19,40
29079,10,4.0,19,20
29080,10,4.0,19,50
29081,10,4.0,19,50
29082,10,4.0,19,20
29083,10,4.0,19,60
29084,10,4.0,19,30
29085,10,4.0,19,30
29086,10,4.0,19,60
29087,10,4.0,19,70
29088,10,4.0,19,50
29089,10,4.0,19,20
29090,10,4.0,19,50
29091,10,4.0,19,20
29092,10,4.0,19,20
29093,10,4.0,19,30
29094,10,4.0,19,20
29095,10,4.0,19,50
29096,10,4.0,19,30
29097,10,4.0,19,50
29098,10,4.0,19,60
29099,10,4.0,19,60
29100,10,4.0,19,40
29101,10,4.0,19,30
29102,10,4.0,19,60
29103,10,4.0,19,50
29104,10,4.0,19,30
29105,10,4.0,19,20
29106,10,4.0,19,30
29107,10,4.0,19,30
29108,10,4.0,19,30
29109,10,4.0,19,30
29110,10,4.0,19,70
29111,10,4.0,19,40
29112,10,4.0,19,20
29113,10,4.0,19,60
29114,10,4.0,19,40
29115,10,4.0,19,30
29116,10,4.0,19,20
29117,10,4.0,19,40
29118,10,4.0,19,60
29119,10,4.0,19,20
29120,10,4.0,19,30
29121,10,4.0,19,20
29122,10,4.0,19,20
29123,10,4.0,19,20
29124,10,4.0,19,20
29125,10,4.0,19,30
29126,10,4.0,19,60
29127,10,4.0,19,60
29128,10,4.0,19,60
29129,10,4.0,19,30
29130,10,4.0,19,60
29131,10,4.0,19,20
29132,10,4.0,19,50
29133,10,4.0,19,50
29134,10,4.0,19,40
29135,10,4.0,19,20
29136,10,4.0,19,60
29137,10,4.0,19,40
29138,10,4.0,19,20
29139,10,4.0,19,40
29140,10,4.0,19,70
29141,10,4.0,19,30
29142,10,4.0,19,20
29143,10,4.0,19,60
29144,10,4.0,19,50
29145,10,4.0,19,20
29146,10,4.0,19,20
29147,10,4.0,19,40
29148,10,4.0,19,50
29149,10,4.0,19,20
29150,10,4.0,19,60
29151,10,4.0,19,50
29152,10,4.0,19,50
29153,10,4.0,19,40
29154,10,4.0,19,50
29155,10,4.0,19,20
29156,10,4.0,19,20
29157,10,4.0,19,60
29158,10,4.0,19,30
29159,10,4.0,19,50
29160,10,4.0,19,20
29161,10,4.0,19,30
29162,10,4.0,19,20
29163,10,4.0,19,30
29164,10,4.0,19,40
29165,10,4.0,19,50
29166,10,4.0,19,40
29167,10,4.0,19,30
29168,10,4.0,19,60
29169,10,4.0,19,60
29170,10,4.0,19,30
29171,10,4.0,19,20
29172,10,4.0,19,20
29173,10,4.0,19,50
29174,10,4.0,19,40
29175,10,4.0,19,50
29176,10,4.0,19,40
29177,10,4.0,19,30
29178,10,4.0,19,40
29179,10,4.0,19,20
29180,10,4.0,19,50
29181,10,4.0,19,60
29182,10,4.0,19,30
29183,10,4.0,19,60
29184,10,4.0,19,30
29185,10,4.0,19,60
29186,10,4.0,19,60
29187,10,4.0,19,60
29188,10,4.0,19,20
29189,10,4.0,19,50
29190,10,4.0,19,50
29191,10,4.0,19,20
29192,10,4.0,19,30
29193,10,4.0,19,40
29194,10,4.0,19,50
29195,10,4.0,19,40
29196,10,4.0,19,30
29197,10,4.0,19,30
29198,10,4.0,19,50
29199,10,4.0,19,50
29200,10,4.0,19,20
29201,10,4.0,19,20
29202,10,4.0,19,30
29203,10,4.0,19,30
29204,10,4.0,19,40
29205,10,4.0,19,30
29206,10,4.0,19,20
29207,10,4.0,19,20
29208,10,4.0,19,20
29209,10,4.0,19,50
29210,10,4.0,19,30
29211,10,4.0,19,40
29212,10,4.0,19,30
29213,10,4.0,19,20
29214,10,4.0,19,60
29215,10,4.0,19,20
29216,10,4.0,19,40
29217,10,4.0,19,20
29218,10,4.0,19,20
29219,10,4.0,19,60
29220,10,4.0,19,60
29221,10,4.0,19,40
29222,10,4.0,19,40
29223,10,4.0,19,40
29224,10,4.0,19,60
29225,10,4.0,19,20
29226,10,4.0,19,60
29227,10,4.0,19,20
29228,10,4.0,19,50
29229,10,4.0,19,20
29230,10,4.0,19,50
29231,10,4.0,19,30
29232,10,4.0,19,50
29233,10,4.0,19,20
29234,10,4.0,19,50
29235,10,4.0,19,20
29236,10,4.0,19,20
29237,10,4.0,19,20
29238,10,4.0,19,20
29239,10,4.0,19,20
29240,10,4.0,19,70
29241,10,4.0,19,40
29242,10,4.0,19,30
29243,10,4.0,19,20
29244,10,4.0,19,40
29245,10,4.0,19,40
29246,10,4.0,19,40
29247,10,4.0,19,60
29248,10,4.0,19,40
29249,10,4.0,19,20
29250,10,4.0,19,40
29251,10,4.0,19,50
29252,10,4.0,19,60
29253,10,4.0,19,50
29254,10,4.0,19,40
29255,10,4.0,19,20
29256,10,4.0,19,30
29257,10,4.0,19,30
29258,10,4.0,19,20
29259,10,4.0,19,20
29260,10,4.0,19,20
29261,10,4.0,19,40
29262,10,4.0,19,50
29263,10,4.0,19,40
29264,10,4.0,19,20
29265,10,4.0,19,50
29266,10,4.0,19,70
29267,10,4.0,19,30
29268,10,4.0,19,50
29269,10,4.0,19,30
29270,10,4.0,19,30
29271,10,4.0,19,30
29272,10,4.0,19,40
29273,10,4.0,19,50
29274,10,4.0,19,30
29275,10,4.0,19,40
29276,10,4.0,19,50
29277,10,4.0,19,40
29278,10,4.0,19,20
29279,10,4.0,19,50
29280,10,4.0,19,40
29281,10,4.0,19,50
29282,10,4.0,19,40
29283,10,4.0,19,20
29284,10,4.0,19,20
29285,10,4.0,19,60
29286,10,4.0,19,20
29287,10,4.0,19,40
29288,10,4.0,19,40
29289,10,4.0,19,20
29290,10,4.0,19,30
29291,10,4.0,19,70
29292,10,4.0,19,40
29293,10,4.0,19,50
29294,10,4.0,19,30
29295,10,4.0,19,20
29296,10,4.0,19,40
29297,10,4.0,19,80
29298,10,4.0,19,60
29299,10,4.0,19,30
29300,10,4.0,19,30
29301,10,4.0,19,50
29302,10,4.0,19,50
29303,10,4.0,19,30
29304,10,4.0,19,50
29305,10,4.0,19,50
29306,10,4.0,19,60
29307,10,4.0,19,20
29308,10,4.0,19,40
29309,10,4.0,19,60
29310,10,4.0,19,40
29311,10,4.0,19,60
29312,10,4.0,19,20
29313,10,4.0,19,40
29314,10,4.0,19,40
29315,10,4.0,19,20
29316,10,4.0,19,20
29317,10,4.0,19,30
29318,10,4.0,19,50
29319,10,4.0,19,30
29320,10,4.0,19,70
29321,10,4.0,19,70
29322,10,4.0,19,40
29323,10,4.0,19,50
29324,10,4.0,19,50
29325,10,4.0,19,40
29326,10,4.0,19,70
29327,10,4.0,19,50
29328,10,4.0,19,50
29329,10,4.0,19,20
29330,10,4.0,19,70
29331,10,4.0,19,20
29332,10,4.0,19,30
29333,10,4.0,19,40
29334,10,4.0,19,60
29335,10,4.0,19,70
29336,10,4.0,19,50
29337,10,4.0,19,20
29338,10,4.0,19,60
29339,10,4.0,19,20
29340,10,4.0,19,30
29341,10,4.0,19,60
29342,10,4.0,19,70
29343,10,4.0,19,50
29344,10,4.0,19,20
29345,10,4.0,19,50
29346,10,4.0,19,70
29347,10,4.0,19,50
29348,10,4.0,19,20
29349,10,4.0,19,20
29350,10,4.0,19,40
29351,10,4.0,19,70
29352,10,4.0,19,20
29353,10,4.0,19,40
29354,10,4.0,19,70
29355,10,4.0,19,20
29356,10,4.0,19,40
29357,10,4.0,19,40
29358,10,4.0,19,40
29359,10,4.0,19,40
29360,10,4.0,19,20
29361,10,4.0,19,60
29362,10,4.0,19,20
29363,10,4.0,19,40
29364,10,4.0,19,20
29365,10,4.0,19,20
29366,10,4.0,19,20
29367,10,4.0,19,20
29368,10,4.0,19,20
29369,10,4.0,19,60
29370,10,4.0,19,40
29371,10,4.0,19,20
29372,10,4.0,19,30
29373,10,4.0,19,50
29374,10,4.0,19,50
29375,10,4.0,19,40
29376,10,4.0,19,40
29377,10,4.0,19,60
29378,10,4.0,19,60
29379,10,4.0,19,50
29380,10,4.0,19,20
29381,10,4.0,19,50
29382,10,4.0,19,20
29383,10,4.0,19,20
29384,10,4.0,19,70
29385,10,4.0,19,40
29386,10,4.0,19,20
29387,10,4.0,19,40
29388,10,4.0,19,20
29389,10,4.0,19,20
29390,10,4.0,19,40
29391,10,4.0,19,20
29392,10,4.0,19,20
29393,10,4.0,19,30
29394,10,4.0,19,50
29395,10,4.0,19,20
29396,10,4.0,19,50
29397,10,4.0,19,20
29398,10,4.0,19,50
29399,10,4.0,19,40
29400,10,4.0,19,20
29401,10,4.0,19,70
29402,10,4.0,19,40
29403,10,4.0,19,60
29404,10,4.0,19,40
29405,10,4.0,19,20
29406,10,4.0,19,40
29407,10,4.0,19,20
29408,10,4.0,19,20
29409,10,4.0,19,20
29410,10,4.0,19,60
29411,10,4.0,19,60
29412,10,4.0,19,20
29413,10,4.0,19,20
29414,10,4.0,19,60
29415,10,4.0,19,20
29416,10,4.0,19,30
29417,10,4.0,19,40
29418,10,4.0,19,50
29419,10,4.0,19,30
29420,10,4.0,19,40
29421,10,4.0,19,20
29422,10,4.0,19,30
29423,10,4.0,19,50
29424,10,4.0,19,20
29425,10,4.0,19,20
29426,10,4.0,19,40
29427,10,4.0,19,20
29428,10,4.0,19,60
29429,10,4.0,19,60
29430,10,4.0,19,20
29431,10,4.0,19,50
29432,10,4.0,19,20
29433,10,4.0,19,20
29434,10,4.0,19,30
29435,10,4.0,19,60
29436,10,4.0,19,50
29437,10,4.0,19,40
29438,10,4.0,19,50
29439,10,4.0,19,60
29440,10,4.0,19,30
29441,10,4.0,19,50
29442,10,4.0,19,60
29443,10,4.0,19,30
29444,10,4.0,19,20
29445,10,4.0,19,50
29446,10,4.0,19,40
29447,10,4.0,19,40
29448,10,4.0,19,50
29449,10,4.0,19,20
29450,10,4.0,19,20
29451,10,4.0,19,40
29452,10,4.0,19,40
29453,10,4.0,19,20
29454,10,4.0,19,20
29455,10,4.0,19,20
29456,10,4.0,19,20
29457,10,4.0,19,50
29458,10,4.0,19,40
29459,10,4.0,19,40
29460,10,4.0,19,20
29461,10,4.0,19,50
29462,10,4.0,19,30
29463,10,4.0,19,30
29464,10,4.0,19,20
29465,10,4.0,19,20
29466,10,4.0,19,50
29467,10,4.0,19,50
29468,10,4.0,19,40
29469,10,4.0,19,20
29470,10,4.0,19,60
29471,10,4.0,19,20
29472,10,4.0,19,60
29473,10,4.0,19,70
29474,10,4.0,19,40
29475,10,4.0,19,40
29476,10,4.0,19,20
29477,10,4.0,19,40
29478,10,4.0,19,60
29479,10,4.0,19,50
29480,10,4.0,19,30
29481,10,4.0,19,50
29482,10,4.0,19,20
29483,10,4.0,19,70
29484,10,4.0,19,40
29485,10,4.0,19,40
29486,10,4.0,19,20
29487,10,4.0,19,60
29488,10,4.0,19,30
29489,10,4.0,19,50
29490,10,4.0,19,60
29491,10,4.0,19,40
29492,10,4.0,19,60
29493,10,4.0,19,70
29494,10,4.0,19,20
29495,10,4.0,19,20
29496,10,4.0,19,30
29497,10,4.0,19,20
29498,10,4.0,19,20
29499,10,4.0,19,50
29500,10,4.0,19,40
29501,10,4.0,19,40
29502,10,4.0,19,50
29503,10,4.0,19,20
29504,10,4.0,19,20
29505,10,4.0,19,60
29506,10,4.0,19,40
29507,10,4.0,19,60
29508,10,4.0,19,40
29509,10,4.0,19,40
29510,10,4.0,19,20
29511,10,4.0,19,30
29512,10,4.0,19,50
29513,10,4.0,19,20
29514,10,4.0,19,40
29515,10,4.0,19,20
29516,10,4.0,19,40
29517,10,4.0,19,50
29518,10,4.0,19,20
29519,10,4.0,19,20
29520,10,4.0,19,50
29521,10,4.0,19,60
29522,10,4.0,19,40
29523,10,4.0,19,30
29524,10,4.0,19,30
29525,10,4.0,19,20
29526,10,4.0,19,40
29527,10,4.0,19,20
29528,10,4.0,19,50
29529,10,4.0,19,20
29530,10,4.0,19,30
29531,10,4.0,19,20
29532,10,4.0,19,50
29533,10,4.0,19,40
29534,10,4.0,19,20
29535,10,4.0,19,30
29536,10,4.0,19,20
29537,10,4.0,19,40
29538,10,4.0,19,70
29539,10,4.0,19,20
29540,10,4.0,19,50
29541,10,4.0,19,20
29542,10,4.0,19,30
29543,10,4.0,19,40
29544,10,4.0,19,20
29545,10,4.0,19,80
29546,10,4.0,19,20
29547,10,4.0,19,50
29548,10,4.0,19,20
29549,10,4.0,19,40
29550,10,4.0,19,60
29551,10,4.0,19,20
29552,10,4.0,19,20
29553,10,4.0,19,20
29554,10,4.0,19,40
29555,10,4.0,19,50
29556,10,4.0,19,60
29557,10,4.0,19,60
29558,10,4.0,19,30
29559,10,4.0,19,30
29560,10,4.0,19,50
29561,10,4.0,19,40
29562,10,4.0,19,20
29563,10,4.0,19,40
29564,10,4.0,19,20
29565,10,4.0,19,30
29566,10,4.0,19,40
29567,10,4.0,19,20
29568,10,4.0,19,40
29569,10,4.0,19,60
29570,10,4.0,19,60
29571,10,4.0,19,30
29572,10,4.0,19,60
29573,10,4.0,19,50
29574,10,4.0,19,50
29575,10,4.0,19,40
29576,10,4.0,19,20
29577,10,4.0,19,20
29578,10,4.0,19,50
29579,10,4.0,19,50
29580,10,4.0,19,50
29581,10,4.0,19,20
29582,10,4.0,19,20
29583,10,4.0,19,30
29584,10,4.0,19,20
29585,10,4.0,19,20
29586,10,4.0,19,20
29587,10,4.0,19,20
29588,10,4.0,19,40
29589,10,4.0,19,20
29590,10,4.0,19,70
29591,10,4.0,19,30
29592,10,4.0,19,30
29593,10,4.0,19,20
29594,10,4.0,19,30
29595,10,4.0,19,30
29596,10,4.0,19,30
29597,10,4.0,19,30
29598,10,4.0,19,40
29599,10,4.0,19,30
29600,10,4.0,19,70
29601,10,4.0,19,70
29602,10,4.0,19,30
29603,10,4.0,19,50
29604,10,4.0,19,20
29605,10,4.0,19,50
29606,10,4.0,19,20
29607,10,4.0,19,20
29608,10,4.0,19,30
29609,10,4.0,19,20
29610,10,4.0,19,70
29611,10,4.0,19,20
29612,10,4.0,19,50
29613,10,4.0,19,20
29614,10,4.0,19,20
29615,10,4.0,19,20
29616,10,4.0,19,70
29617,10,4.0,19,20
29618,10,4.0,19,50
29619,10,4.0,19,20
29620,10,4.0,19,20
29621,10,4.0,19,40
29622,10,4.0,19,20
29623,10,4.0,19,20
29624,10,4.0,19,60
29625,10,4.0,19,20
29626,10,4.0,19,20
29627,10,4.0,19,50
29628,10,4.0,19,60
29629,10,4.0,19,20
29630,10,4.0,19,40
29631,10,4.0,19,60
29632,10,4.0,19,40
29633,10,4.0,19,40
29634,10,4.0,19,20
29635,10,4.0,19,20
29636,10,4.0,19,60
29637,10,4.0,19,60
29638,10,4.0,19,30
29639,10,4.0,19,20
29640,10,4.0,19,40
29641,10,4.0,19,20
29642,10,4.0,19,40
29643,10,4.0,19,40
29644,10,4.0,19,20
29645,10,4.0,19,60
29646,10,4.0,19,40
29647,10,4.0,19,70
29648,10,4.0,19,20
29649,10,4.0,19,30
29650,10,4.0,19,60
29651,10,4.0,19,50
29652,10,4.0,19,70
29653,10,4.0,19,20
29654,10,4.0,19,40
29655,10,4.0,19,60
29656,10,4.0,19,50
29657,10,4.0,19,40
29658,10,4.0,19,60
29659,10,4.0,19,40
29660,10,4.0,19,50
29661,10,4.0,19,50
29662,10,4.0,19,60
29663,10,4.0,19,30
29664,10,4.0,19,50
29665,10,4.0,19,20
29666,10,4.0,19,30
29667,10,4.0,19,50
29668,10,4.0,19,20
29669,10,4.0,19,40
29670,10,4.0,19,50
29671,10,4.0,19,20
29672,10,4.0,19,20
29673,10,4.0,19,40
29674,10,4.0,19,20
29675,10,4.0,19,20
29676,10,4.0,19,40
29677,10,4.0,19,60
29678,10,4.0,19,20
29679,10,4.0,19,50
29680,10,4.0,19,20
29681,10,4.0,19,50
29682,10,4.0,19,20
29683,10,4.0,19,40
29684,10,4.0,19,20
29685,10,4.0,19,70
29686,10,4.0,19,30
29687,10,4.0,19,30
29688,10,4.0,19,60
29689,10,4.0,19,20
29690,10,4.0,19,20
29691,10,4.0,19,20
29692,10,4.0,19,20
29693,10,4.0,19,20
29694,10,4.0,19,60
29695,10,4.0,19,20
29696,10,4.0,19,20
29697,10,4.0,19,20
29698,10,4.0,19,40
29699,10,4.0,19,20
29700,10,4.0,19,60
29701,10,4.0,19,40
29702,10,4.0,19,50
29703,10,4.0,19,70
29704,10,4.0,19,20
29705,10,4.0,19,50
29706,10,4.0,19,20
29707,10,4.0,19,80
29708,10,4.0,19,40
29709,10,4.0,19,40
29710,10,4.0,19,30
29711,10,4.0,19,60
29712,10,4.0,19,40
29713,10,4.0,19,60
29714,10,4.0,19,20
29715,10,4.0,19,70
29716,10,4.0,19,40
29717,10,4.0,19,30
29718,10,4.0,19,60
29719,10,4.0,19,30
29720,10,4.0,19,60
29721,10,4.0,19,70
29722,10,4.0,19,60
29723,10,4.0,19,60
29724,10,4.0,19,50
29725,10,4.0,19,20
29726,10,4.0,19,50
29727,10,4.0,19,20
29728,10,4.0,19,60
29729,10,4.0,19,50
29730,10,4.0,19,20
29731,10,4.0,19,30
29732,10,4.0,19,20
29733,10,4.0,19,40
29734,10,4.0,19,60
29735,10,4.0,19,20
29736,10,4.0,19,20
29737,10,4.0,19,20
29738,10,4.0,19,70
29739,10,4.0,19,30
29740,10,4.0,19,30
29741,10,4.0,19,40
29742,10,4.0,19,20
29743,10,4.0,19,20
29744,10,4.0,19,60
29745,10,4.0,19,20
29746,10,4.0,19,50
29747,10,4.0,19,30
29748,10,4.0,19,20
29749,10,4.0,19,40
29750,10,4.0,19,40
29751,10,4.0,19,70
29752,10,4.0,19,50
29753,10,4.0,19,20
29754,10,4.0,19,20
29755,10,4.0,19,60
29756,10,4.0,19,40
29757,10,4.0,19,60
29758,10,4.0,19,70
29759,10,4.0,19,60
29760,10,4.0,19,60
29761,10,4.0,19,20
29762,10,4.0,19,20
29763,10,4.0,19,40
29764,10,4.0,19,20
29765,10,4.0,19,20
29766,10,4.0,19,20
29767,10,4.0,19,40
29768,10,4.0,19,60
29769,10,4.0,19,40
29770,10,4.0,19,60
29771,10,4.0,19,40
29772,10,4.0,19,20
29773,10,4.0,19,20
29774,10,4.0,19,50
29775,10,4.0,19,40
29776,10,4.0,19,50
29777,10,4.0,19,40
29778,10,4.0,19,70
29779,10,4.0,19,50
29780,10,4.0,19,50
29781,10,4.0,19,30
29782,10,4.0,19,60
29783,10,4.0,19,50
29784,10,4.0,19,60
29785,10,4.0,19,50
29786,10,4.0,19,20
29787,10,4.0,19,60
29788,10,4.0,19,40
29789,10,4.0,19,20
29790,10,4.0,19,20
29791,10,4.0,19,20
29792,10,4.0,19,40
29793,10,4.0,19,20
29794,10,4.0,19,20
29795,10,4.0,19,20
29796,10,4.0,19,30
29797,10,4.0,19,40
29798,10,4.0,19,30
29799,10,4.0,19,60
29800,10,4.0,19,40
29801,10,4.0,19,40
29802,10,4.0,19,30
29803,10,4.0,19,70
29804,10,4.0,19,20
29805,10,4.0,19,20
29806,10,4.0,19,60
29807,10,4.0,19,20
29808,10,4.0,19,60
29809,10,4.0,19,50
29810,10,4.0,19,30
29811,10,4.0,19,20
29812,10,4.0,19,20
29813,10,4.0,19,60
29814,10,4.0,19,40
29815,10,4.0,19,40
29816,10,4.0,19,50
29817,10,4.0,19,40
29818,10,4.0,19,40
29819,10,4.0,19,50
29820,10,4.0,19,60
29821,10,4.0,19,40
29822,10,4.0,19,40
29823,10,4.0,19,40
29824,10,4.0,19,30
29825,10,4.0,19,20
29826,10,4.0,19,20
29827,10,4.0,19,30
29828,10,4.0,19,50
29829,10,4.0,19,30
29830,10,4.0,19,20
29831,10,4.0,19,50
29832,10,4.0,19,40
29833,10,4.0,19,40
29834,10,4.0,19,20
29835,10,4.0,19,40
29836,10,4.0,19,20
29837,10,4.0,19,60
29838,10,4.0,19,30
29839,10,4.0,19,30
29840,10,4.0,19,20
29841,10,4.0,19,50
29842,10,4.0,19,20
29843,10,4.0,19,50
29844,10,4.0,19,20
29845,10,4.0,19,50
29846,10,4.0,19,30
29847,10,4.0,19,20
29848,10,4.0,19,60
29849,10,4.0,19,70
29850,10,4.0,19,20
29851,10,4.0,19,20
29852,10,4.0,19,20
