,T,lambda,gamma,strategy
265,10,0.25,,coop
266,10,0.25,,coop
267,10,0.25,,coop
268,10,0.25,,coop
269,10,0.25,,coop
270,10,0.25,,coop
271,10,0.25,,coop
272,10,0.25,,coop
273,10,0.25,,coop
274,10,0.25,,coop
275,10,0.25,,coop
276,10,0.25,,coop
277,10,0.25,,coop
278,10,0.25,,coop
279,10,0.25,,coop
280,10,0.25,,coop
281,10,0.25,,coop
282,10,0.25,,coop
283,10,0.25,,coop
284,10,0.25,,coop
285,10,0.25,,coop
286,10,0.25,,coop
287,10,0.25,,coop
288,10,0.25,,coop
289,10,0.25,,coop
290,10,0.25,,coop
291,10,0.25,,coop
292,10,0.25,,coop
293,10,0.25,,coop
294,10,0.25,,coop
295,10,0.25,,coop
296,10,0.25,,coop
297,10,0.25,,coop
298,10,0.25,,defect
299,10,0.25,,coop
300,10,0.25,,coop
301,10,0.25,,coop
302,10,0.25,,coop
303,10,0.25,,coop
304,10,0.25,,coop
305,10,0.25,,coop
306,10,0.25,,coop
307,10,0.25,,coop
308,10,0.25,,coop
309,10,0.25,,coop
310,10,0.25,,coop
311,10,0.25,,coop
312,10,0.25,,coop
313,10,0.25,,coop
314,10,0.25,,coop
315,10,0.25,,coop
316,10,0.25,,coop
317,10,0.25,,coop
318,10,0.25,,coop
319,10,0.25,,coop
320,10,0.25,,coop
321,10,0.25,,coop
322,10,0.25,,coop
323,10,0.25,,coop
324,10,0.25,,coop
325,10,0.25,,coop
326,10,0.25,,coop
327,10,0.25,,coop
328,10,0.25,,coop
329,10,0.25,,coop
330,10,0.25,,coop
331,10,0.25,,coop
332,10,0.25,,coop
333,10,0.25,,coop
334,10,0.25,,coop
335,10,0.25,,coop
336,10,0.25,,coop
337,10,0.25,,coop
338,10,0.25,,coop
339,10,0.25,,coop
340,10,0.25,,coop
341,10,0.25,,coop
342,10,0.25,,coop
343,10,0.25,,coop
344,10,0.25,,coop
345,10,0.25,,coop
346,10,0.25,,coop
347,10,0.25,,coop
348,10,0.25,,coop
349,10,0.25,,coop
350,10,0.25,,coop
351,10,0.25,,coop
352,10,0.25,,coop
353,10,0.25,,coop
354,10,0.25,,coop
355,10,0.25,,coop
356,10,0.25,,coop
357,10,0.25,,coop
358,10,0.25,,coop
359,10,0.25,,coop
360,10,0.25,,coop
361,10,0.25,,coop
362,10,0.25,,coop
363,10,0.25,,coop
364,10,0.25,,coop
365,10,0.25,,coop
366,10,0.25,,coop
367,10,0.25,,coop
368,10,0.25,,coop
369,10,0.25,,coop
370,10,0.25,,coop
371,10,0.25,,coop
372,10,0.25,,coop
373,10,0.25,,coop
374,10,0.25,,coop
375,10,0.25,,coop
376,10,0.25,,coop
377,10,0.25,,coop
378,10,0.25,,coop
379,10,0.25,,coop
380,10,0.25,,coop
381,10,0.25,,coop
382,10,0.25,,coop
383,10,0.25,,coop
384,10,0.25,,coop
385,10,0.25,,coop
386,10,0.25,,coop
387,10,0.25,,coop
388,10,0.25,,coop
389,10,0.25,,coop
390,10,0.25,,coop
391,10,0.25,,coop
392,10,0.25,,coop
393,10,0.25,,coop
394,10,0.25,,defect
395,10,0.25,,coop
396,10,0.25,,coop
397,10,0.25,,coop
398,10,0.25,,coop
399,10,0.25,,coop
400,10,0.25,,coop
401,10,0.25,,coop
402,10,0.25,,coop
403,10,0.25,,coop
404,10,0.25,,coop
405,10,0.25,,coop
406,10,0.25,,coop
407,10,0.25,,coop
408,10,0.25,,coop
409,10,0.25,,coop
410,10,0.25,,coop
411,10,0.25,,coop
412,10,0.25,,coop
413,10,0.25,,coop
414,10,0.25,,coop
415,10,0.25,,coop
416,10,0.25,,coop
417,10,0.25,,coop
418,10,0.25,,coop
419,10,0.25,,coop
420,10,0.25,,coop
421,10,0.25,,coop
422,10,0.25,,coop
423,10,0.25,,coop
424,10,0.25,,coop
425,10,0.25,,coop
426,10,0.25,,coop
427,10,0.25,,coop
428,10,0.25,,coop
429,10,0.25,,coop
430,10,0.25,,coop
431,10,0.25,,defect
432,10,0.25,,coop
433,10,0.25,,coop
434,10,0.25,,coop
435,10,0.25,,coop
436,10,0.25,,coop
437,10,0.25,,coop
438,10,0.25,,coop
439,10,0.25,,coop
440,10,0.25,,coop
441,10,0.25,,coop
442,10,0.25,,coop
443,10,0.25,,coop
444,10,0.25,,coop
445,10,0.25,,coop
446,10,0.25,,coop
447,10,0.25,,coop
448,10,0.25,,coop
